"Location","Error Message"
"http://www.ygdy8.net/html/gndy/dyzz/20150727/48625.html","Traceback (most recent call last):
  File ""main.py"", line 83, in <module>
    content_list = content_text.find(id=""Zoom"").find(text=re.compile(""导　　演"")).parent.parent.get_text('\n', strip=True).split(""【下载地址】"", 1)[0].split('◎')
AttributeError: 'NoneType' object has no attribute 'parent'
"
"http://www.ygdy8.net/html/gndy/dyzz/20141227/46952.html","Traceback (most recent call last):
  File ""main.py"", line 83, in <module>
    content_list = content_text.find(id=""Zoom"").find(text=re.compile(""导　　演"")).parent.parent.get_text('\n', strip=True).split(""【下载地址】"", 1)[0].split('◎')
AttributeError: 'NoneType' object has no attribute 'parent'
"
"http://www.ygdy8.net/html/gndy/dyzz/20140708/45615.html","Traceback (most recent call last):
  File ""main.py"", line 83, in <module>
    content_list = content_text.find(id=""Zoom"").find(text=re.compile(""导　　演"")).parent.parent.get_text('\n', strip=True).split(""【下载地址】"", 1)[0].split('◎')
AttributeError: 'NoneType' object has no attribute 'parent'
"
"http://www.ygdy8.net/html/gndy/dyzz/20140624/45482.html","Traceback (most recent call last):
  File ""main.py"", line 83, in <module>
    content_list = content_text.find(id=""Zoom"").find(text=re.compile(""导　　演"")).parent.parent.get_text('\n', strip=True).split(""【下载地址】"", 1)[0].split('◎')
AttributeError: 'NoneType' object has no attribute 'parent'
"
"http://www.ygdy8.net/html/gndy/dyzz/20140619/45447.html","Traceback (most recent call last):
  File ""main.py"", line 79, in <module>
    publish_date = content_text.find(text=re.compile(""发布时间："")).strip().replace(""发布时间："", """").strip()
AttributeError: 'NoneType' object has no attribute 'strip'
"
"http://www.ygdy8.net/html/gndy/dyzz/20140611/45394.html","Traceback (most recent call last):
  File ""main.py"", line 83, in <module>
    content_list = content_text.find(id=""Zoom"").find(text=re.compile(""导　　演"")).parent.parent.get_text('\n', strip=True).split(""【下载地址】"", 1)[0].split('◎')
AttributeError: 'NoneType' object has no attribute 'parent'
"
"http://www.ygdy8.net/html/gndy/dyzz/20140607/45355.html","Traceback (most recent call last):
  File ""main.py"", line 79, in <module>
    publish_date = content_text.find(text=re.compile(""发布时间："")).strip().replace(""发布时间："", """").strip()
AttributeError: 'NoneType' object has no attribute 'strip'
"
"http://www.ygdy8.net/html/gndy/dyzz/20140604/45325.html","Traceback (most recent call last):
  File ""main.py"", line 83, in <module>
    content_list = content_text.find(id=""Zoom"").find(text=re.compile(""导　　演"")).parent.parent.get_text('\n', strip=True).split(""【下载地址】"", 1)[0].split('◎')
AttributeError: 'NoneType' object has no attribute 'parent'
"
"http://www.ygdy8.net/html/gndy/dyzz/20140511/45136.html","Traceback (most recent call last):
  File ""main.py"", line 83, in <module>
    content_list = content_text.find(id=""Zoom"").find(text=re.compile(""导　　演"")).parent.parent.get_text('\n', strip=True).split(""【下载地址】"", 1)[0].split('◎')
AttributeError: 'NoneType' object has no attribute 'parent'
"
"http://www.ygdy8.net/html/gndy/dyzz/20140428/45007.html","Traceback (most recent call last):
  File ""main.py"", line 72, in <module>
    response = urllib.request.urlopen(url).read()
  File ""C:\Users\jiedding\AppData\Local\Programs\Python\Python35-32\lib\urllib\request.py"", line 162, in urlopen
    return opener.open(url, data, timeout)
  File ""C:\Users\jiedding\AppData\Local\Programs\Python\Python35-32\lib\urllib\request.py"", line 465, in open
    response = self._open(req, data)
  File ""C:\Users\jiedding\AppData\Local\Programs\Python\Python35-32\lib\urllib\request.py"", line 483, in _open
    '_open', req)
  File ""C:\Users\jiedding\AppData\Local\Programs\Python\Python35-32\lib\urllib\request.py"", line 443, in _call_chain
    result = func(*args)
  File ""C:\Users\jiedding\AppData\Local\Programs\Python\Python35-32\lib\urllib\request.py"", line 1268, in http_open
    return self.do_open(http.client.HTTPConnection, req)
  File ""C:\Users\jiedding\AppData\Local\Programs\Python\Python35-32\lib\urllib\request.py"", line 1243, in do_open
    r = h.getresponse()
  File ""C:\Users\jiedding\AppData\Local\Programs\Python\Python35-32\lib\http\client.py"", line 1174, in getresponse
    response.begin()
  File ""C:\Users\jiedding\AppData\Local\Programs\Python\Python35-32\lib\http\client.py"", line 282, in begin
    version, status, reason = self._read_status()
  File ""C:\Users\jiedding\AppData\Local\Programs\Python\Python35-32\lib\http\client.py"", line 243, in _read_status
    line = str(self.fp.readline(_MAXLINE + 1), ""iso-8859-1"")
  File ""C:\Users\jiedding\AppData\Local\Programs\Python\Python35-32\lib\socket.py"", line 571, in readinto
    return self._sock.recv_into(b)
TimeoutError: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond
"
"http://www.ygdy8.net/html/gndy/dyzz/20140410/44875.html","Traceback (most recent call last):
  File ""main.py"", line 80, in <module>
    poster_url = content_text.find(id=""Zoom"").find('img').get('src')
AttributeError: 'NoneType' object has no attribute 'get'
"
"http://www.ygdy8.net/html/gndy/dyzz/20140225/44503.html","Traceback (most recent call last):
  File ""main.py"", line 79, in <module>
    publish_date = content_text.find(text=re.compile(""发布时间："")).strip().replace(""发布时间："", """").strip()
AttributeError: 'NoneType' object has no attribute 'strip'
"
"http://www.ygdy8.net/html/gndy/dyzz/20131204/43833.html","Traceback (most recent call last):
  File ""main.py"", line 79, in <module>
    publish_date = content_text.find(text=re.compile(""发布时间："")).strip().replace(""发布时间："", """").strip()
AttributeError: 'NoneType' object has no attribute 'strip'
"
"http://www.ygdy8.net/html/gndy/dyzz/20131017/43439.html","Traceback (most recent call last):
  File ""main.py"", line 79, in <module>
    publish_date = content_text.find(text=re.compile(""发布时间："")).strip().replace(""发布时间："", """").strip()
AttributeError: 'NoneType' object has no attribute 'strip'
"
"http://www.ygdy8.net/html/gndy/dyzz/20130906/43095.html","Traceback (most recent call last):
  File ""main.py"", line 83, in <module>
    content_list = content_text.find(id=""Zoom"").find(text=re.compile(""导　　演"")).parent.parent.get_text('\n', strip=True).split(""【下载地址】"", 1)[0].split('◎')
AttributeError: 'NoneType' object has no attribute 'parent'
"
